"X","datasets","AUROC_SINCERITITES_L0","AUROC_SINCERITITES_L0L2","AUROC_NIMEFI_L0L2","AUROC_NIMEFI_L0","AUROC_GENIE3","AUROC_SINCERITITES"
59,"HSC-2000-10-50",0.40521978021978,0.40521978021978,0.685897435897436,0.726190476190476,0.603021978021978,0.529761904761905
60,"HSC-2000-10-70",0.55448717948718,0.55448717948718,0.629120879120879,0.671703296703297,0.617673992673993,0.537545787545787
61,"mCAD-2000-1",0.516483516483517,0.516483516483517,0.307692307692308,0.395604395604396,0.395604395604396,0.494505494505495
62,"mCAD-2000-1-50",0.395604395604396,0.395604395604396,0.296703296703297,0.307692307692308,0.208791208791209,0.230769230769231
63,"mCAD-2000-1-70",0.527472527472527,0.527472527472527,0.296703296703297,0.296703296703297,0.21978021978022,0.318681318681319
64,"mCAD-2000-2",0.483516483516484,0.483516483516484,0.428571428571429,0.417582417582418,0.417582417582418,0.384615384615385
65,"mCAD-2000-2-50",0.516483516483517,0.516483516483517,0.406593406593407,0.417582417582418,0.384615384615385,0.362637362637363
66,"mCAD-2000-2-70",0.626373626373626,0.626373626373626,0.32967032967033,0.307692307692308,0.285714285714286,0.373626373626374
67,"mCAD-2000-3",0.384615384615385,0.384615384615385,0.406593406593407,0.417582417582418,0.428571428571429,0.472527472527473
68,"mCAD-2000-3-50",0.43956043956044,0.43956043956044,0.417582417582418,0.395604395604396,0.362637362637363,0.43956043956044
69,"mCAD-2000-3-70",0.516483516483517,0.516483516483517,0.472527472527473,0.395604395604396,0.340659340659341,0.395604395604396
70,"mCAD-2000-4",0.527472527472527,0.527472527472527,0.384615384615385,0.417582417582418,0.428571428571429,0.549450549450549
71,"mCAD-2000-4-50",0.516483516483517,0.516483516483517,0.307692307692308,0.285714285714286,0.186813186813187,0.395604395604396
72,"mCAD-2000-4-70",0.538461538461539,0.538461538461539,0.274725274725275,0.307692307692308,0.230769230769231,0.43956043956044
73,"mCAD-2000-5",0.604395604395604,0.604395604395604,0.450549450549451,0.461538461538462,0.384615384615385,0.659340659340659
74,"mCAD-2000-5-50",0.802197802197802,0.802197802197802,0.395604395604396,0.384615384615385,0.406593406593407,0.78021978021978
75,"mCAD-2000-5-70",0.318681318681319,0.318681318681319,0.32967032967033,0.252747252747253,0.241758241758242,0.461538461538462
76,"mCAD-2000-6",0.417582417582418,0.417582417582418,0.450549450549451,0.43956043956044,0.43956043956044,0.318681318681319
77,"mCAD-2000-6-50",0.417582417582418,0.417582417582418,0.406593406593407,0.395604395604396,0.450549450549451,0.406593406593407
78,"mCAD-2000-6-70",0.384615384615385,0.384615384615385,0.472527472527473,0.395604395604396,0.351648351648352,0.362637362637363
79,"mCAD-2000-7",0.692307692307692,0.692307692307692,0.450549450549451,0.406593406593407,0.450549450549451,0.604395604395604
80,"mCAD-2000-7-50",0.626373626373626,0.626373626373626,0.406593406593407,0.384615384615385,0.406593406593407,0.505494505494505
81,"mCAD-2000-7-70",0.43956043956044,0.43956043956044,0.362637362637363,0.285714285714286,0.208791208791209,0.230769230769231
82,"mCAD-2000-8",0.417582417582418,0.417582417582418,0.307692307692308,0.373626373626374,0.395604395604396,0.417582417582418
83,"mCAD-2000-8-50",0.703296703296703,0.703296703296703,0.307692307692308,0.307692307692308,0.197802197802198,0.659340659340659
84,"mCAD-2000-8-70",0.373626373626374,0.373626373626374,0.428571428571429,0.373626373626374,0.230769230769231,0.32967032967033
85,"mCAD-2000-9",0.351648351648352,0.351648351648352,0.406593406593407,0.406593406593407,0.428571428571429,0.208791208791209
86,"mCAD-2000-9-50",0.450549450549451,0.450549450549451,0.340659340659341,0.318681318681319,0.230769230769231,0.318681318681319
87,"mCAD-2000-9-70",0.351648351648352,0.351648351648352,0.373626373626374,0.32967032967033,0.241758241758242,0.186813186813187
88,"mCAD-2000-10",0.659340659340659,0.659340659340659,0.384615384615385,0.406593406593407,0.406593406593407,0.549450549450549
89,"mCAD-2000-10-50",0.373626373626374,0.373626373626374,0.318681318681319,0.318681318681319,0.208791208791209,0.505494505494505
90,"mCAD-2000-10-70",0.296703296703297,0.296703296703297,0.362637362637363,0.351648351648352,0.21978021978022,0.483516483516484
