"","datasets","AUROC_L0Dynamic","AUROC_L0Dynamic_S"
"44","HSC-2000-5-50",0.587912087912088,0.336842105263158
"45","HSC-2000-5-70",0.566391941391941,0.472672064777328
"46","HSC-2000-6",0.597069597069597,0.556275303643725
"47","HSC-2000-6-50",0.517399267399267,0.464372469635628
"48","HSC-2000-6-70",0.464285714285714,0.501214574898785
"49","HSC-2000-7",0.499084249084249,0.512348178137652
"50","HSC-2000-7-50",0.506868131868132,0.446761133603239
"51","HSC-2000-7-70",0.461538461538462,0.494129554655871
"52","HSC-2000-8",0.52518315018315,0.407894736842105
"53","HSC-2000-8-50",0.516483516483517,0.495546558704454
"54","HSC-2000-8-70",0.519688644688645,0.46417004048583
"55","HSC-2000-9",0.59981684981685,0.568421052631579
"56","HSC-2000-9-50",0.543040293040293,0.403036437246964
"57","HSC-2000-9-70",0.563644688644689,0.427732793522267
"58","HSC-2000-10",0.398809523809524,0.509919028340081
"59","HSC-2000-10-50",0.402472527472527,0.499595141700405
"60","HSC-2000-10-70",0.421703296703297,0.497165991902834
"61","mCAD-2000-1",0.351648351648352,0.5
"62","mCAD-2000-1-50",0.417582417582418,0.483974358974359
"63","mCAD-2000-1-70",0.384615384615385,0.474358974358974
"64","mCAD-2000-2",0.285714285714286,0.551282051282051
"65","mCAD-2000-2-50",0.285714285714286,0.487179487179487
"66","mCAD-2000-2-70",0.450549450549451,0.548076923076923
"67","mCAD-2000-3",0.252747252747253,0.467948717948718
"68","mCAD-2000-3-50",0.406593406593407,0.493589743589744
"69","mCAD-2000-3-70",0.406593406593407,0.525641025641026
"70","mCAD-2000-4",0.208791208791209,0.442307692307692
"71","mCAD-2000-4-50",0.175824175824176,0.538461538461539
"72","mCAD-2000-4-70",0.285714285714286,0.544871794871795
"73","mCAD-2000-5",0.241758241758242,0.442307692307692
"74","mCAD-2000-5-50",0.241758241758242,0.480769230769231
"75","mCAD-2000-5-70",0.340659340659341,0.557692307692308
"76","mCAD-2000-6",0.208791208791209,0.448717948717949
"77","mCAD-2000-6-50",0.340659340659341,0.442307692307692
"78","mCAD-2000-6-70",0.417582417582418,0.532051282051282
"79","mCAD-2000-7",0.131868131868132,0.538461538461539
"80","mCAD-2000-7-50",0.153846153846154,0.532051282051282
"81","mCAD-2000-7-70",0.351648351648352,0.576923076923077
"82","mCAD-2000-8",0.230769230769231,0.57051282051282
"83","mCAD-2000-8-50",0.351648351648352,0.602564102564103
"84","mCAD-2000-8-70",0.340659340659341,0.596153846153846
"85","mCAD-2000-9",0.395604395604396,0.608974358974359
"86","mCAD-2000-9-50",0.417582417582418,0.608974358974359
"87","mCAD-2000-9-70",0.450549450549451,0.573717948717949
"88","mCAD-2000-10",0.241758241758242,0.519230769230769
"89","mCAD-2000-10-50",0.274725274725275,0.564102564102564
"90","mCAD-2000-10-70",0.549450549450549,0.493589743589744
"91","VSC-2000-1",0.775609756097561,0.448979591836735
"92","VSC-2000-1-50",0.720325203252033,0.451020408163265
"93","VSC-2000-1-70",0.660162601626016,0.484353741496599
"94","VSC-2000-2",0.702439024390244,0.582312925170068
"95","VSC-2000-2-50",0.71869918699187,0.542176870748299
"96","VSC-2000-2-70",0.705691056910569,0.513605442176871
"97","VSC-2000-3",0.697560975609756,0.608163265306122
"98","VSC-2000-3-50",0.752845528455284,0.560544217687075
"99","VSC-2000-3-70",0.730081300813008,0.410884353741497
"100","VSC-2000-4",0.655284552845528,0.680272108843538
"101","VSC-2000-4-50",0.632520325203252,0.615646258503401
"102","VSC-2000-4-70",0.635772357723577,0.466666666666667
"103","VSC-2000-5",0.619512195121951,0.556462585034014
"104","VSC-2000-5-50",0.619512195121951,0.447619047619048
"105","VSC-2000-5-70",0.6,0.589115646258503
"106","VSC-2000-6",0.687804878048781,0.54421768707483
"107","VSC-2000-6-50",0.684552845528455,0.535374149659864
"108","VSC-2000-6-70",0.682926829268293,0.593197278911565
"109","VSC-2000-7",0.778861788617886,0.479591836734694
"110","VSC-2000-7-50",0.764227642276423,0.459863945578231
"111","VSC-2000-7-70",0.697560975609756,0.447619047619048
"112","VSC-2000-8",0.572357723577236,0.43469387755102
