"","datasets","AUROC_L0REG_L0","AUROC_L0REG_L0L2","AUROC2_GENIE3","AUROC_SINCERITITES"
"85","mCAD-2000-9",0.362637362637363,0.505494505494506,0.296703296703297,0.307692307692308
"86","mCAD-2000-9-50",0.307692307692308,0.274725274725275,0.296703296703297,0.120879120879121
"87","mCAD-2000-9-70",0.263736263736264,0.252747252747253,0.318681318681319,0.318681318681319
"88","mCAD-2000-10",0.428571428571429,0.417582417582418,0.307692307692308,0.648351648351648
"89","mCAD-2000-10-50",0.32967032967033,0.307692307692308,0.274725274725275,0.615384615384615
"90","mCAD-2000-10-70",0.274725274725275,0.274725274725275,0.32967032967033,0.461538461538462
"91","VSC-2000-1",0.71869918699187,0.613008130081301,0.811382113821138,0.528455284552846
"92","VSC-2000-1-50",0.650406504065041,0.613008130081301,0.767479674796748,0.491056910569106
"93","VSC-2000-1-70",0.59349593495935,0.55609756097561,0.645528455284553,0.47479674796748
"94","VSC-2000-2",0.783739837398374,0.713821138211382,0.791869918699187,0.559349593495935
"95","VSC-2000-2-50",0.601626016260163,0.47479674796748,0.754471544715448,0.450406504065041
"96","VSC-2000-2-70",0.539837398373984,0.554471544715447,0.653658536585366,0.486178861788618
"97","VSC-2000-3",0.801626016260163,0.744715447154472,0.786991869918699,0.520325203252033
"98","VSC-2000-3-50",0.629268292682927,0.499186991869919,0.764227642276423,0.432520325203252
"99","VSC-2000-3-70",0.55609756097561,0.544715447154472,0.655284552845529,0.442276422764228
"100","VSC-2000-4",0.707317073170731,0.653658536585366,0.824390243902439,0.538211382113821
"101","VSC-2000-4-50",0.733333333333333,0.656910569105691,0.785365853658537,0.424390243902439
"102","VSC-2000-4-70",0.578861788617886,0.531707317073171,0.645528455284553,0.346341463414634
"103","VSC-2000-5",0.773983739837399,0.707317073170732,0.786991869918699,0.500813008130081
"104","VSC-2000-5-50",0.663414634146342,0.544715447154472,0.760975609756098,0.404878048780488
"105","VSC-2000-5-70",0.55609756097561,0.543089430894309,0.634146341463415,0.469918699186992
"106","VSC-2000-6",0.684552845528455,0.611382113821138,0.804878048780488,0.484552845528455
"107","VSC-2000-6-50",0.669918699186992,0.63739837398374,0.75609756097561,0.463414634146341
"108","VSC-2000-6-70",0.580487804878049,0.507317073170731,0.632520325203252,0.482926829268293
"109","VSC-2000-7",0.778861788617886,0.669918699186992,0.798373983739837,0.652032520325203
"110","VSC-2000-7-50",0.702439024390244,0.669918699186992,0.765853658536586,0.460162601626016
"111","VSC-2000-7-70",0.572357723577236,0.595121951219512,0.645528455284553,0.617886178861788
"112","VSC-2000-8",0.749593495934959,0.660162601626016,0.813008130081301,0.349593495934959
"113","VSC-2000-8-50",0.68780487804878,0.622764227642276,0.754471544715447,0.538211382113821
"114","VSC-2000-8-70",0.572357723577236,0.538211382113821,0.655284552845529,0.357723577235772
"115","VSC-2000-9",0.780487804878049,0.71219512195122,0.782113821138212,0.452032520325203
"116","VSC-2000-9-50",0.731707317073171,0.721951219512195,0.783739837398374,0.447154471544715
"117","VSC-2000-9-70",0.591869918699187,0.549593495934959,0.648780487804878,0.497560975609756
"118","VSC-2000-10",0.723577235772358,0.669918699186992,0.8,0.447154471544715
"119","VSC-2000-10-50",0.678048780487805,0.694308943089431,0.751219512195122,0.559349593495935
"120","VSC-2000-10-70",0.572357723577236,0.543089430894309,0.647154471544715,0.463414634146341
