"","datasets","AUROC_L0Dynamic","AUROC_L0REG_L0","AUROC_L0REG_L0L2","AUROC_GENIE3","AUROC_SINCERITITES"
"41","HSC-2000-4-50",0.543956043956044,0.510989010989011,0.528846153846154,0.5746336996337,0.477106227106227
"42","HSC-2000-4-70",0.468864468864469,0.509615384615385,0.557234432234432,0.566849816849817,0.548992673992674
"43","HSC-2000-5",0.533882783882784,0.593864468864469,0.602564102564103,0.723901098901099,0.386446886446886
"44","HSC-2000-5-50",0.502747252747253,0.592948717948718,0.608974358974359,0.616300366300367,0.427655677655678
"45","HSC-2000-5-70",0.564102564102564,0.566391941391941,0.59478021978022,0.516941391941392,0.489468864468865
"46","HSC-2000-6",0.466117216117216,0.593406593406594,0.590659340659341,0.662087912087912,0.506410256410256
"47","HSC-2000-6-50",0.481227106227106,0.512820512820513,0.548534798534799,0.618589743589744,0.471153846153846
"48","HSC-2000-6-70",0.570054945054945,0.461538461538462,0.526098901098901,0.512820512820513,0.432234432234432
"49","HSC-2000-7",0.616758241758242,0.503663003663004,0.39514652014652,0.490842490842491,0.446886446886447
"50","HSC-2000-7-50",0.58974358974359,0.508699633699634,0.39514652014652,0.445054945054945,0.507783882783883
"51","HSC-2000-7-70",0.567765567765568,0.462454212454212,0.426282051282051,0.530677655677656,0.459249084249084
"52","HSC-2000-8",0.573260073260073,0.53021978021978,0.516483516483517,0.65018315018315,0.654761904761905
"53","HSC-2000-8-50",0.564102564102564,0.521062271062271,0.534798534798535,0.59981684981685,0.414835164835165
"54","HSC-2000-8-70",0.495421245421246,0.522435897435898,0.525641025641026,0.530677655677656,0.561355311355311
"55","HSC-2000-9",0.516483516483516,0.596611721611722,0.587912087912088,0.679029304029304,0.533424908424908
"56","HSC-2000-9-50",0.511904761904762,0.539835164835165,0.581959706959707,0.668498168498168,0.543040293040293
"57","HSC-2000-9-70",0.493131868131868,0.561813186813187,0.543040293040293,0.597069597069597,0.573717948717949
"58","HSC-2000-10",0.56959706959707,0.402472527472527,0.441391941391941,0.521520146520146,0.45970695970696
"59","HSC-2000-10-50",0.581043956043956,0.403388278388278,0.423992673992674,0.516941391941392,0.448717948717949
"60","HSC-2000-10-70",0.548992673992674,0.426282051282051,0.377747252747253,0.506868131868132,0.438644688644689
"61","mCAD-2000-1",0.604395604395604,0.351648351648352,0.373626373626374,0.296703296703297,0.681318681318681
"62","mCAD-2000-1-50",0.593406593406594,0.406593406593407,0.417582417582418,0.21978021978022,0.648351648351648
"63","mCAD-2000-1-70",0.593406593406593,0.43956043956044,0.43956043956044,0.285714285714286,0.384615384615385
"64","mCAD-2000-2",0.461538461538462,0.285714285714286,0.208791208791209,0.384615384615385,0.43956043956044
"65","mCAD-2000-2-50",0.450549450549451,0.307692307692308,0.21978021978022,0.373626373626374,0.406593406593407
"66","mCAD-2000-2-70",0.615384615384615,0.428571428571429,0.450549450549451,0.32967032967033,0.373626373626374
"67","mCAD-2000-3",0.43956043956044,0.208791208791209,0.417582417582418,0.450549450549451,0.406593406593407
"68","mCAD-2000-3-50",0.417582417582418,0.373626373626374,0.428571428571429,0.450549450549451,0.472527472527473
"69","mCAD-2000-3-70",0.428571428571429,0.395604395604396,0.450549450549451,0.32967032967033,0.32967032967033
"70","mCAD-2000-4",0.428571428571429,0.175824175824176,0.428571428571429,0.483516483516484,0.461538461538462
"71","mCAD-2000-4-50",0.43956043956044,0.142857142857143,0.417582417582418,0.384615384615385,0.604395604395604
"72","mCAD-2000-4-70",0.373626373626374,0.274725274725275,0.494505494505495,0.549450549450549,0.527472527472527
"73","mCAD-2000-5",0.417582417582418,0.208791208791209,0.417582417582418,0.461538461538462,0.615384615384615
"74","mCAD-2000-5-50",0.461538461538462,0.208791208791209,0.428571428571429,0.43956043956044,0.505494505494505
"75","mCAD-2000-5-70",0.527472527472527,0.340659340659341,0.43956043956044,0.362637362637363,0.340659340659341
"76","mCAD-2000-6",0.362637362637363,0.186813186813187,0.406593406593407,0.43956043956044,0.373626373626374
"77","mCAD-2000-6-50",0.450549450549451,0.307692307692308,0.406593406593407,0.483516483516484,0.362637362637363
"78","mCAD-2000-6-70",0.516483516483516,0.406593406593407,0.43956043956044,0.417582417582418,0.351648351648352
"79","mCAD-2000-7",0.406593406593407,0.0989010989010989,0.406593406593407,0.461538461538462,0.318681318681319
"80","mCAD-2000-7-50",0.373626373626374,0.120879120879121,0.406593406593407,0.384615384615385,0.318681318681319
"81","mCAD-2000-7-70",0.395604395604396,0.351648351648352,0.406593406593407,0.43956043956044,0.505494505494505
"82","mCAD-2000-8",0.516483516483517,0.241758241758242,0.274725274725275,0.274725274725275,0.307692307692308
"83","mCAD-2000-8-50",0.604395604395604,0.384615384615385,0.395604395604396,0.32967032967033,0.362637362637363
"84","mCAD-2000-8-70",0.538461538461539,0.384615384615385,0.406593406593407,0.384615384615385,0.241758241758242
"85","mCAD-2000-9",0.582417582417582,0.373626373626374,0.351648351648352,0.307692307692308,0.307692307692308
"86","mCAD-2000-9-50",0.549450549450549,0.428571428571429,0.351648351648352,0.307692307692308,0.120879120879121
"87","mCAD-2000-9-70",0.637362637362637,0.461538461538462,0.450549450549451,0.461538461538462,0.318681318681319
"88","mCAD-2000-10",0.505494505494506,0.241758241758242,0.252747252747253,0.285714285714286,0.648351648351648
"89","mCAD-2000-10-50",0.604395604395604,0.274725274725275,0.318681318681319,0.274725274725275,0.615384615384615
"90","mCAD-2000-10-70",0.725274725274725,0.582417582417582,0.549450549450549,0.483516483516484,0.461538461538462
