"","Cluster","Gene","corr","pval"
"292","Cluster 4","CD1C",0.271778903914204,0.146265029342263
"293","Cluster 4","CD40",0.57873095774761,0.000807037940066162
"294","Cluster 4","CXCL17",0.514518928101433,0.00362632872937935
"295","Cluster 4","EZH2",0.872949985572687,3.16294180624084e-10
"296","Cluster 4","KLRK1",0.971958758725205,3.83463219410208e-19
"297","Cluster 4","LAG3",0.228978070617504,0.223557019333855
"298","Cluster 4","NT5E",-0.395861256025846,0.0303549443764253
"299","Cluster 4","RAET1G",0.95198726023678,6.31010186164932e-16
"300","Cluster 4","TAP1",0.988596699742213,1.43618909834041e-24
"301","Cluster 1","B2M",0.639616945531692,9.87863433237031e-07
"302","Cluster 1","CCL20",0.00391922931814632,0.978908346685544
"303","Cluster 1","CCL22",-0.0684101582093752,0.644075621764118
"304","Cluster 1","CCL28",0.207963076915885,0.156076256442537
"305","Cluster 1","CCR6",0.389633461165776,0.00619251443824447
"306","Cluster 1","CD40",0.26459056711778,0.0691625329520247
"307","Cluster 1","CXCL17",0.477604963227916,0.000597468982108521
"308","Cluster 1","EZH2",0.572904934738402,2.0864737189713e-05
"309","Cluster 1","HSP90B1",0.31804945589726,0.0275961354856244
"310","Cluster 1","KLRK1",0.0655053979273776,0.658237842717537
"311","Cluster 1","NT5E",-0.0166747040265125,0.910436280347461
"312","Cluster 1","RAET1G",0.345397669441505,0.0161981342332454
"313","Cluster 1","TAP1",0.0936986264572833,0.526441571781643
"314","Cluster 2","B2M",0.561905861555696,0.000817830826823382
"315","Cluster 2","CCL22",0.504003474754813,0.00327068589821307
"316","Cluster 2","CCL28",-0.0223479409417314,0.903370808700135
"317","Cluster 2","CD1C",0.281058576040257,0.119173817805021
"318","Cluster 2","CD2",0.141897270706835,0.438523726548304
"319","Cluster 2","CD40",0.53371248345703,0.00165610501214924
"320","Cluster 2","CXCL17",0.391489004932967,0.0267070450730325
"321","Cluster 2","EZH2",0.129436703635551,0.480155834964358
"322","Cluster 2","KLRK1",0.181745303093888,0.319480779941657
"323","Cluster 2","NT5E",0.102031677971007,0.578437608074021
"324","Cluster 2","RAET1G",0.298679710989619,0.0968108028319642
"325","Cluster 2","TAP1",-0.0408158615301438,0.824473111864979
"326","Cluster 3","B2M",0.719285910933186,2.48298498163595e-07
"327","Cluster 3","CCL22",0.481587746314905,0.00190897736783462
"328","Cluster 3","CCL28",-0.0492791534015661,0.765766888280246
"329","Cluster 3","CD40",0.429981139613052,0.00629472152853371
"330","Cluster 3","CXCL17",-0.0831888913987997,0.614622618581153
"331","Cluster 3","CXCR5",0.468869824270273,0.00260588877334401
"332","Cluster 3","HSP90B1",0.391566428642277,0.0136977049690352
"333","Cluster 3","KLRK1",0.439055240159514,0.00517005964471812
