EGR1	KLF2	0
FOS	RPL4	0
IRF1	ZFP36L1	0
CREM	DYNLL1	0
NFKBIA	N4BP2L2	0
FOSB	HSPB1	0
JUNB	RPL35A	0
FOSB	DUSP2	0
EGR1	RGS2	0
IRF1	EEF2	0
JUNB	CCNL1	0
EGR1	HLA-E	0
JUNB	HNRNPA2B1	0
IRF1	RPL10A	0
TSC22D3	EEF2	0
KLF2	N4BP2L2	0
NFKBIA	HMGN1	0
EGR1	PFN1	0
FOSB	BTG1	0
KLF6	DDX17	0
EGR1	TXNIP	0
NFKBIA	HNRNPA3	0
FOSB	HLA-A	0
IRF1	JUNB	0
NFKBIA	PFN1	0
JUNB	RPL37A	0
FOSB	SUB1	0
KLF2	NFKBIA	0
IRF1	TPM3	0
JUNB	HSPB1	0
FOS	HSPB1	0
KLF6	YWHAZ	0
TSC22D3	RPL36	0
KLF6	RPLP0	0
IRF1	GPR183	0
TSC22D3	GPR183	0
TSC22D3	FOSB	0
KLF6	S100A4	0
KLF2	RPL8	0
NFKBIA	CALM2	0
FOS	HNRNPK	0
FOS	SRRM2	0
CREM	JUNB	0
FOSB	TPM3	0
TSC22D3	MYL12B	0
KLF6	CIRBP	0
JUNB	RPL18	0
CREM	KLF6	0
IRF1	HNRNPU	0
KLF2	SH3BGRL3	0
IRF1	KLF2	0
KLF2	TUBA1B	0
JUNB	NOP53	0
KLF2	AHNAK	0
JUNB	GPR183	0
IRF1	RPL27A	0
EGR1	SRGN	0
TSC22D3	CD52	0
EGR1	GAPDH	0
CREM	PFN1	0
KLF6	NFKBIA	0
FOS	CFL1	0
JUNB	RPS7	0
JUNB	RPS11	0
JUNB	RPS16	0
TSC22D3	SRP14	0
EGR1	RPS20	0
KLF2	CYBA	0
KLF2	CD55	0
FOS	MYL12B	0
CREM	YWHAZ	0
CREM	NPM1	0
EGR1	SRP14	0
FOS	JUNB	0
FOSB	S100A6	0
KLF2	PPIA	0
EGR1	HSPA1B	0
IRF1	S100A6	0
NFKBIA	ZFP36	0
KLF6	RPS10	0
JUNB	RPS3	0
IRF1	HLA-DQA1	0
KLF2	ACTG1	0
KLF2	RPL28	0
JUNB	RPL13A	0
KLF6	HNRNPK	0
KLF6	EZR	0
EGR1	FOS	0
IRF1	VIM	0
EGR1	HLA-DQB1	0
EGR1	LAPTM5	0
JUNB	OAZ1	0
TSC22D3	RPS20	0
FOS	RPL23	0
IRF1	RPL19	0
FOS	CXCR4	0
JUNB	RPL24	0
TSC22D3	SET	0
FOSB	RPLP0	0
KLF2	PPP1R15A	0
IRF1	RPS11	0
TSC22D3	MS4A1	0
TSC22D3	HLA-DMA	0
NFKBIA	NOP53	0
KLF6	HLA-DQB1	0
JUNB	RPL39	0
FOSB	HLA-B	0
TSC22D3	ATP1B3	0
KLF2	IRF1	0
JUNB	HNRNPDL	0
KLF2	HNRNPK	0
FOS	EIF4A2	0
TSC22D3	SUMO2	0
EGR1	CD48	0
CREM	SRRM2	0
JUNB	RPL14	0
TSC22D3	DUSP2	0
KLF6	MYL12A	0
EGR1	MYL6	0
NFKBIA	SON	0
KLF2	RPS13	0
JUNB	CLIC1	0
FOSB	RPL23A	0
KLF6	CALM1	0
JUNB	HLA-DRA	0
KLF6	NPM1	0
KLF2	RPL32	0
CREM	RPL35	0
FOSB	LTB	0
JUNB	RPL29	0
NFKBIA	CCNL1	0
KLF2	CALM1	0
